"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","8","","Reviews Service Integ Test","","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests.GetReview","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests.GetReview",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","30","","Collection Service Unit Test","","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.GetBooksByCollectionId","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.GetBooksByCollectionId",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","1","","News Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.NewsRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.NewsRepositoryUnitTests.PostGetNews","LibraryApp.Tests.UnitTests.DataAccess.NewsRepositoryUnitTests.PostGetNews",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","2","","Collection Service Unit Test","","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.CreateCollection","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.CreateCollection",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","2","","Collection Service Unit Test","","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.UpdateCollection","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.UpdateCollection",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","Collection Service Unit Test","","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.GetCollection","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.GetCollection",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","7","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.GetNews","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.GetNews",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.CreateBook","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.CreateBook",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","5","","Author Service Unit Test","","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.GetBooksByAuthorId","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.GetBooksByAuthorId",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","2","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.CreateNews","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.CreateNews",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","6","","Order Service Unit Test","","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests.GetAllOrders","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests.GetAllOrders",""
